split,expiry,entry_date,strategy,regime,rv20,rv20_rank,spot,p20,p35,p65,p80,strikes_json,entry_cashflow_points,mc_ev_gross,mc_ev_net,mc_pop,es95_points,es99_points,risk_points_per_lot,risk_budget_inr,estimated_risk_inr_per_lot,recommended_lots,contract_count,eligible,eligibility_reason,slippage_points_per_leg,entry_cost_inr_expected,entry_cost_inr_entry_only,legs_json,cpcv_frequency,status,expiry_spot,realized_pnl_points_per_unit,realized_cost_inr_per_lot,realized_pnl_inr_per_lot,forced_per_lot_evaluation,exit_spot,realized_pnl_inr,primary_strategy,signal,lots
development,2024-01-05,2024-01-02,Risk Reversal,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""c65"": 72700.0, ""p35"": 71900.0}",53.80000000000001,48.70285888852329,46.8678254795023,0.6704,2131.5913646035715,3129.1320483002987,3129.1320483002987,2000.0,62582.64096600597,1,2,True,eligible,0.5,36.7006681804203,29.602175040000002,"[{""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 211.3, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 210.8, ""side"": ""BUY"", ""strike"": 72700.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 265.1, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 265.6, ""side"": ""SELL"", ""strike"": 71900.0}]",5,CLOSED,72026.15,53.80000000000001,29.602175040000002,1046.3978249600002,True,72026.15,1046.3978249600002,Risk Reversal,ENTER,1
development,2024-01-12,2024-01-09,Long Synthetic Future,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""atm"": 71800.0}",-113.5,99.6617976671809,97.42884095726498,0.54,2317.057812196081,3172.6188372471033,3172.6188372471033,2000.0,63452.37674494207,1,2,True,eligible,0.5,44.6591341983188,30.713770760000003,"[{""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 413.8, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 413.3, ""side"": ""BUY"", ""strike"": 71800.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 300.3, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 300.8, ""side"": ""SELL"", ""strike"": 71800.0}]",3,CLOSED,72568.45,654.9499999999971,49.92502075999993,13049.074979239942,True,72568.45,13049.074979239942,Long Synthetic Future,ENTER,1
development,2024-01-19,2024-01-16,Put Ratio Spread,medium,0.10365534425834147,0.623015873015873,73214.44,72441.38625948361,72987.59649430432,73814.10994142172,74293.34996935942,"{""atm"": 73200.0, ""p35"": 73000.0}",274.25,51.289283052013594,48.836449099713654,0.7806,1791.8880570398355,2804.5175979464375,2804.5175979464375,2000.0,56090.351958928746,1,3,True,eligible,0.5,49.056679045998564,39.58081862,"[{""expiry"": ""2024-01-19"", ""option_type"": ""PE"", ""premium_points"": 441.85, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 441.35, ""side"": ""BUY"", ""strike"": 73200.0}, {""expiry"": ""2024-01-19"", ""option_type"": ""PE"", ""premium_points"": 358.05, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 358.55, ""side"": ""SELL"", ""strike"": 73000.0}]",4,CLOSED,71683.23,-842.5200000000041,77.5000686200001,-16927.90006862008,True,71683.23,-16927.90006862008,Put Ratio Spread,ENTER,1
development,2024-01-25,2024-01-20,Sell Put,high,0.12676329437328096,0.9642857142857143,71847.66,71107.41430919903,71609.8632071653,72418.71808466397,72894.99778976609,"{""atm"": 71800.0}",424.4,70.29055842794304,69.25061803594302,0.7222,1924.1990505546844,2853.393342158712,2853.393342158712,2000.0,57067.86684317424,1,1,True,eligible,0.5,20.79880784,20.79880784,"[{""expiry"": ""2024-01-25"", ""option_type"": ""PE"", ""premium_points"": 424.4, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 424.9, ""side"": ""SELL"", ""strike"": 71800.0}]",5,CLOSED,70700.67,-674.9300000000018,20.79880784,-13519.398807840034,True,70700.67,-13519.398807840034,Sell Put,ENTER,1
development,2024-02-02,2024-01-30,Batman,high,0.15125057192325428,1.0,71777.73,70985.80614632956,71495.82227543935,72357.91632937745,72834.70198675021,"{""c65"": 72400.0, ""c80"": 72800.0, ""p20"": 71000.0, ""p35"": 71500.0}",454.74999999999994,418.5863705930431,413.8732516516881,0.8914,1104.8339780662272,2090.4541001468037,2090.4541001468037,2000.0,41809.08200293608,1,6,True,eligible,0.5,94.26237882709992,81.12068489999999,"[{""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 569.45, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 568.95, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 403.5, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 404.0, ""side"": ""SELL"", ""strike"": 71000.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 485.8, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 485.3, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 351.5, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 352.0, ""side"": ""SELL"", ""strike"": 72800.0}]",2,CLOSED,72085.63,454.74999999999994,81.12068489999999,9013.879315099999,True,72085.63,9013.879315099999,Batman,ENTER,1
development,2024-02-09,2024-02-06,Sell Put,high,0.1566767566465073,0.996031746031746,71813.7,71047.76046595885,71543.60812468511,72376.294141029,72852.29279462034,"{""atm"": 71800.0}",574.5,195.51717552332366,194.31810211332368,0.7474,1817.1953537529548,2832.3960207527152,2832.3960207527152,2000.0,56647.92041505431,1,1,True,eligible,0.5,23.981468200000002,23.981468200000002,"[{""expiry"": ""2024-02-09"", ""option_type"": ""PE"", ""premium_points"": 574.5, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 575.0, ""side"": ""SELL"", ""strike"": 71800.0}]",5,CLOSED,71595.49,369.99000000000524,23.981468200000002,7375.818531800105,True,71595.49,7375.818531800105,Sell Put,ENTER,1
development,2024-02-16,2024-02-13,Sell Put,high,0.15408174023703014,0.9642857142857143,71006.64,70241.11562870779,70746.08403036618,71549.72489149832,72017.99742455875,"{""atm"": 71000.0}",535.1,159.6220868797409,158.4647845617409,0.7418,1844.5069562916729,2894.1428189920607,2894.1428189920607,2000.0,57882.856379841214,1,1,True,eligible,0.5,23.14604636,23.14604636,"[{""expiry"": ""2024-02-16"", ""option_type"": ""PE"", ""premium_points"": 535.1, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 535.6, ""side"": ""SELL"", ""strike"": 71000.0}]",5,CLOSED,72426.64,535.1,23.14604636,10678.85395364,True,72426.64,10678.85395364,Sell Put,ENTER,1
development,2024-02-23,2024-02-20,Sell Put,high,0.12737448008764424,0.9007936507936508,72617.27,71828.5150321985,72369.44522520556,73179.55721203856,73659.10932597563,"{""atm"": 72600.0}",528.55,151.06851261014327,149.91815447114325,0.7404,1854.4437955237004,2751.1924755540113,2751.1924755540113,2000.0,55023.849511080225,1,1,True,eligible,0.5,23.007162779999998,23.007162779999998,"[{""expiry"": ""2024-02-23"", ""option_type"": ""PE"", ""premium_points"": 528.55, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 529.05, ""side"": ""SELL"", ""strike"": 72600.0}]",5,CLOSED,73142.8,528.55,23.007162779999998,10547.99283722,True,73142.8,10547.99283722,Sell Put,ENTER,1
development,2024-03-01,2024-02-27,Short Straddle,medium,0.09668809888844578,0.5238095238095238,72809.95,72046.44013302312,72552.84178690966,73369.93215121112,73845.99815601646,"{""atm"": 72800.0}",1121.4499999999998,234.37878337692237,232.00984451592228,0.6924,1687.853061181896,2497.4158455923334,2497.4158455923334,2000.0,49948.31691184667,1,2,True,eligible,0.5,47.37877722,47.37877722,"[{""expiry"": ""2024-03-01"", ""option_type"": ""CE"", ""premium_points"": 620.3, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 620.8, ""side"": ""SELL"", ""strike"": 72800.0}, {""expiry"": ""2024-03-01"", ""option_type"": ""PE"", ""premium_points"": 501.15, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 501.65, ""side"": ""SELL"", ""strike"": 72800.0}]",4,CLOSED,73745.35,176.099999999994,47.37877722,3474.62122277988,True,73745.35,3474.62122277988,Short Straddle,ENTER,1
development,2024-03-07,2024-03-04,Short Straddle,medium,0.10565334822636711,0.6507936507936508,73825.51,73037.97111859817,73546.66283525176,74357.55300457442,74834.80567093544,"{""atm"": 73800.0}",1043.7,149.45651751745766,147.1700076514577,0.6598,1852.416549214132,2782.809012823857,2782.809012823857,2000.0,55656.180256477135,1,2,True,eligible,0.5,45.73019732,45.73019732,"[{""expiry"": ""2024-03-07"", ""option_type"": ""CE"", ""premium_points"": 567.2, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 567.7, ""side"": ""SELL"", ""strike"": 73800.0}, {""expiry"": ""2024-03-07"", ""option_type"": ""PE"", ""premium_points"": 476.5, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 477.0, ""side"": ""SELL"", ""strike"": 73800.0}]",4,CLOSED,74119.39,724.3100000000006,45.73019732,14440.469802680012,True,74119.39,14440.469802680012,Short Straddle,ENTER,1
