split,expiry,entry_date,strategy,regime,rv20,rv20_rank,spot,p20,p35,p65,p80,strikes_json,entry_cashflow_points,mc_ev_gross,mc_ev_net,mc_pop,es95_points,es99_points,risk_points_per_lot,risk_budget_inr,estimated_risk_inr_per_lot,recommended_lots,contract_count,eligible,eligibility_reason,slippage_points_per_leg,entry_cost_inr_expected,entry_cost_inr_entry_only,legs_json,cpcv_frequency,status,expiry_spot,realized_pnl_points_per_unit,realized_cost_inr_per_lot,realized_pnl_inr_per_lot,forced_per_lot_evaluation,universe,reason,realized_pnl_inr,lots,signal
development,2024-01-25,2024-01-20,Batman,high,0.12676329437328096,0.9642857142857143,71847.66,71107.41430919903,71609.8632071653,72418.71808466397,72894.99778976609,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71100.0, ""p35"": 71600.0}",53.099999999999966,53.185541830771186,49.35014274304425,0.8168,1442.5868265961506,2424.5182845073787,2424.5182845073787,2000.0,48490.36569014758,1.0,6.0,True,eligible,0.25,76.70798175453893,63.2046674,"[{""expiry"": ""2024-01-25"", ""option_type"": ""PE"", ""premium_points"": 338.6, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 338.35, ""side"": ""BUY"", ""strike"": 71600.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""PE"", ""premium_points"": 179.55, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 179.8, ""side"": ""SELL"", ""strike"": 71100.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""CE"", ""premium_points"": 308.1, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 307.85, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""CE"", ""premium_points"": 170.35, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 170.6, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,CLOSED,70700.67,153.76999999999822,85.68791740000005,2989.712082599964,True,,,2989.712082599964,1,ENTER
development,2024-01-25,2024-01-20,Batman,high,0.12676329437328096,0.9642857142857143,71847.66,71107.41430919903,71609.8632071653,72418.71808466397,72894.99778976609,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71100.0, ""p35"": 71600.0}",53.099999999999966,53.185541830771186,49.35014274304425,0.8168,1442.5868265961506,2424.5182845073787,2424.5182845073787,2000.0,48490.36569014758,1.0,6.0,True,eligible,0.25,76.70798175453893,63.2046674,"[{""expiry"": ""2024-01-25"", ""option_type"": ""PE"", ""premium_points"": 338.6, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 338.35, ""side"": ""BUY"", ""strike"": 71600.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""PE"", ""premium_points"": 179.55, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 179.8, ""side"": ""SELL"", ""strike"": 71100.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""CE"", ""premium_points"": 308.1, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 307.85, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""CE"", ""premium_points"": 170.35, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 170.6, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,CLOSED,70700.67,153.76999999999822,85.68791740000005,2989.712082599964,True,Batman_standalone,,2989.712082599964,1,ENTER
development,2024-02-02,2024-01-30,Batman,high,0.15125057192325428,1.0,71777.73,70985.80614632956,71495.82227543935,72357.91632937745,72834.70198675021,"{""c65"": 72400.0, ""c80"": 72800.0, ""p20"": 71000.0, ""p35"": 71500.0}",456.24999999999994,420.08637059304306,415.37223656168806,0.8918,1103.334993156227,2088.9551152368035,2088.9551152368035,2000.0,41779.10230473607,1.0,6.0,True,eligible,0.25,94.28268062709994,81.1409867,"[{""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 569.2, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 568.95, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 403.75, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 404.0, ""side"": ""SELL"", ""strike"": 71000.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 485.55, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 485.3, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 351.75, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 352.0, ""side"": ""SELL"", ""strike"": 72800.0}]",2.0,CLOSED,72085.63,456.24999999999994,81.1409867,9043.859013299998,True,,,9043.859013299998,1,ENTER
development,2024-02-02,2024-01-30,Batman,high,0.15125057192325428,1.0,71777.73,70985.80614632956,71495.82227543935,72357.91632937745,72834.70198675021,"{""c65"": 72400.0, ""c80"": 72800.0, ""p20"": 71000.0, ""p35"": 71500.0}",456.24999999999994,420.08637059304306,415.37223656168806,0.8918,1103.334993156227,2088.9551152368035,2088.9551152368035,2000.0,41779.10230473607,1.0,6.0,True,eligible,0.25,94.28268062709994,81.1409867,"[{""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 569.2, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 568.95, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 403.75, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 404.0, ""side"": ""SELL"", ""strike"": 71000.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 485.55, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 485.3, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 351.75, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 352.0, ""side"": ""SELL"", ""strike"": 72800.0}]",2.0,CLOSED,72085.63,456.24999999999994,81.1409867,9043.859013299998,True,Batman_standalone,,9043.859013299998,1,ENTER
development,2024-02-09,2024-02-06,Batman,high,0.1566767566465073,0.996031746031746,71813.7,71047.76046595885,71543.60812468511,72376.294141029,72852.29279462034,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71000.0, ""p35"": 71500.0}",188.55,196.6498873160508,192.52328474225044,0.8616,1252.826168697852,2218.7616314814495,2218.7616314814495,2000.0,44375.23262962899,1.0,6.0,True,eligible,0.25,82.53205147600757,69.71758442000001,"[{""expiry"": ""2024-02-09"", ""option_type"": ""PE"", ""premium_points"": 461.95, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 461.7, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""PE"", ""premium_points"": 303.75, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 304.0, ""side"": ""SELL"", ""strike"": 71000.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""CE"", ""premium_points"": 343.0, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 342.75, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""CE"", ""premium_points"": 193.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 193.25, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,CLOSED,71595.49,188.55,69.71758442000001,3701.28241558,True,,,3701.28241558,1,ENTER
development,2024-02-09,2024-02-06,Batman,high,0.1566767566465073,0.996031746031746,71813.7,71047.76046595885,71543.60812468511,72376.294141029,72852.29279462034,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71000.0, ""p35"": 71500.0}",188.55,196.6498873160508,192.52328474225044,0.8616,1252.826168697852,2218.7616314814495,2218.7616314814495,2000.0,44375.23262962899,1.0,6.0,True,eligible,0.25,82.53205147600757,69.71758442000001,"[{""expiry"": ""2024-02-09"", ""option_type"": ""PE"", ""premium_points"": 461.95, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 461.7, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""PE"", ""premium_points"": 303.75, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 304.0, ""side"": ""SELL"", ""strike"": 71000.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""CE"", ""premium_points"": 343.0, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 342.75, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""CE"", ""premium_points"": 193.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 193.25, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,CLOSED,71595.49,188.55,69.71758442000001,3701.28241558,True,Batman_standalone,,3701.28241558,1,ENTER
development,2024-02-16,2024-02-13,Batman,high,0.15408174023703014,0.9642857142857143,71006.64,70241.11562870779,70746.08403036618,71549.72489149832,72017.99742455875,"{""c65"": 71500.0, ""c80"": 72000.0, ""p20"": 70200.0, ""p35"": 70700.0}",154.05000000000007,160.70000376342503,156.54851440807474,0.8506,1350.5453885895176,2336.598706001015,2336.598706001015,2000.0,46731.974120020306,1.0,6.0,True,eligible,0.25,83.02978710700539,69.68317838,"[{""expiry"": ""2024-02-16"", ""option_type"": ""PE"", ""premium_points"": 413.75, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 413.5, ""side"": ""BUY"", ""strike"": 70700.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""PE"", ""premium_points"": 257.1, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 257.35, ""side"": ""SELL"", ""strike"": 70200.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""CE"", ""premium_points"": 421.5, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 421.25, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""CE"", ""premium_points"": 237.55, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 237.8, ""side"": ""SELL"", ""strike"": 72000.0}]",2.0,CLOSED,72426.64,227.41000000000065,92.84917837999998,4455.350821620013,True,,,4455.350821620013,1,ENTER
development,2024-02-16,2024-02-13,Batman,high,0.15408174023703014,0.9642857142857143,71006.64,70241.11562870779,70746.08403036618,71549.72489149832,72017.99742455875,"{""c65"": 71500.0, ""c80"": 72000.0, ""p20"": 70200.0, ""p35"": 70700.0}",154.05000000000007,160.70000376342503,156.54851440807474,0.8506,1350.5453885895176,2336.598706001015,2336.598706001015,2000.0,46731.974120020306,1.0,6.0,True,eligible,0.25,83.02978710700539,69.68317838,"[{""expiry"": ""2024-02-16"", ""option_type"": ""PE"", ""premium_points"": 413.75, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 413.5, ""side"": ""BUY"", ""strike"": 70700.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""PE"", ""premium_points"": 257.1, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 257.35, ""side"": ""SELL"", ""strike"": 70200.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""CE"", ""premium_points"": 421.5, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 421.25, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""CE"", ""premium_points"": 237.55, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 237.8, ""side"": ""SELL"", ""strike"": 72000.0}]",2.0,CLOSED,72426.64,227.41000000000065,92.84917837999998,4455.350821620013,True,Batman_standalone,,4455.350821620013,1,ENTER
development,2024-02-23,2024-02-20,Batman,high,0.12737448008764424,0.9007936507936508,72617.27,71828.5150321985,72369.44522520556,73179.55721203856,73659.10932597563,"{""c65"": 73200.0, ""c80"": 73700.0, ""p20"": 71800.0, ""p35"": 72400.0}",45.5,87.9302520272473,84.0331743570977,0.8354,1214.9256074021953,2001.6098635810265,2001.6098635810265,2000.0,40032.19727162053,1.0,6.0,True,eligible,0.25,77.94155340299167,64.40554628,"[{""expiry"": ""2024-02-23"", ""option_type"": ""PE"", ""premium_points"": 443.15, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 442.9, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""PE"", ""premium_points"": 248.95, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 249.2, ""side"": ""SELL"", ""strike"": 71800.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""CE"", ""premium_points"": 262.75, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 262.5, ""side"": ""BUY"", ""strike"": 73200.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""CE"", ""premium_points"": 126.75, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 127.0, ""side"": ""SELL"", ""strike"": 73700.0}]",2.0,CLOSED,73142.8,45.5,64.40554628,845.59445372,True,,,845.59445372,1,ENTER
development,2024-02-23,2024-02-20,Batman,high,0.12737448008764424,0.9007936507936508,72617.27,71828.5150321985,72369.44522520556,73179.55721203856,73659.10932597563,"{""c65"": 73200.0, ""c80"": 73700.0, ""p20"": 71800.0, ""p35"": 72400.0}",45.5,87.9302520272473,84.0331743570977,0.8354,1214.9256074021953,2001.6098635810265,2001.6098635810265,2000.0,40032.19727162053,1.0,6.0,True,eligible,0.25,77.94155340299167,64.40554628,"[{""expiry"": ""2024-02-23"", ""option_type"": ""PE"", ""premium_points"": 443.15, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 442.9, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""PE"", ""premium_points"": 248.95, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 249.2, ""side"": ""SELL"", ""strike"": 71800.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""CE"", ""premium_points"": 262.75, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 262.5, ""side"": ""BUY"", ""strike"": 73200.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""CE"", ""premium_points"": 126.75, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 127.0, ""side"": ""SELL"", ""strike"": 73700.0}]",2.0,CLOSED,73142.8,45.5,64.40554628,845.59445372,True,Batman_standalone,,845.59445372,1,ENTER
